"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2012 General Election","CLEARFIELD","Auditor General","StateWide","Republican","","18,236","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","Auditor General","StateWide","Democratic","","10,734","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","Auditor General","StateWide","Libertarian","","2,103","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","State Treasurer","StateWide","Republican","","17,007","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","State Treasurer","StateWide","Democratic","","12,388","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","State Treasurer","StateWide","Libertarian","","1,618","0","0","","","","","","","","",""
"2012 General Election","CLINTON","Auditor General","StateWide","Republican","","6,622","0","0","","","","","","","","",""
"2012 General Election","CLINTON","Auditor General","StateWide","Democratic","","5,409","0","0","","","","","","","","",""
"2012 General Election","CLINTON","Auditor General","StateWide","Libertarian","","743","0","0","","","","","","","","",""
"2012 General Election","CLINTON","State Treasurer","StateWide","Republican","","6,429","0","0","","","","","","","","",""
"2012 General Election","CLINTON","State Treasurer","StateWide","Democratic","","5,765","0","0","","","","","","","","",""
"2012 General Election","CLINTON","State Treasurer","StateWide","Libertarian","","601","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","Auditor General","StateWide","Republican","","12,912","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","Auditor General","StateWide","Democratic","","10,429","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","Auditor General","StateWide","Libertarian","","1,431","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","State Treasurer","StateWide","Republican","","12,511","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","State Treasurer","StateWide","Democratic","","10,848","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","State Treasurer","StateWide","Libertarian","","1,253","0","0","","","","","","","","",""
"2012 General Election","CRAWFORD","Auditor General","StateWide","Republican","","20,342","0","0","","","","","","","","",""
"2012 General Election","CRAWFORD","Auditor General","StateWide","Democratic","","12,172","0","0","","","","","","","","",""
"2012 General Election","CRAWFORD","Auditor General","StateWide","Libertarian","","1,834","0","0","","","","","","","","",""
"2012 General Election","CRAWFORD","State Treasurer","StateWide","Republican","","19,132","0","0","","","","","","","","",""
"2012 General Election","CRAWFORD","State Treasurer","StateWide","Democratic","","13,555","0","0","","","","","","","","",""
"2012 General Election","CRAWFORD","State Treasurer","StateWide","Libertarian","","1,633","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","Auditor General","StateWide","Republican","","64,500","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","Auditor General","StateWide","Democratic","","38,563","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","Auditor General","StateWide","Libertarian","","5,245","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","State Treasurer","StateWide","Republican","","59,102","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","State Treasurer","StateWide","Democratic","","43,777","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","State Treasurer","StateWide","Libertarian","","4,955","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","Auditor General","StateWide","Republican","","56,756","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","Auditor General","StateWide","Democratic","","58,127","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","Auditor General","StateWide","Libertarian","","2,865","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","State Treasurer","StateWide","Republican","","51,864","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","State Treasurer","StateWide","Democratic","","62,405","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","State Treasurer","StateWide","Libertarian","","2,805","0","0","","","","","","","","",""
"2012 General Election","DELAWARE","Auditor General","StateWide","Republican","","117,109","0","0","","","","","","","","",""
"2012 General Election","DELAWARE","Auditor General","StateWide","Democratic","","147,212","0","0","","","","","","","","",""
"2012 General Election","DELAWARE","Auditor General","StateWide","Libertarian","","5,131","0","0","","","","","","","","",""
"2012 General Election","DELAWARE","State Treasurer","StateWide","Republican","","111,023","0","0","","","","","","","","",""
"2012 General Election","DELAWARE","State Treasurer","StateWide","Democratic","","153,800","0","0","","","","","","","","",""
"2012 General Election","DELAWARE","State Treasurer","StateWide","Libertarian","","4,578","0","0","","","","","","","","",""
"2012 General Election","ELK","Auditor General","StateWide","Republican","","6,663","0","0","","","","","","","","",""
"2012 General Election","ELK","Auditor General","StateWide","Democratic","","5,401","0","0","","","","","","","","",""
"2012 General Election","ELK","Auditor General","StateWide","Libertarian","","885","0","0","","","","","","","","",""
"2012 General Election","ELK","State Treasurer","StateWide","Republican","","6,260","0","0","","","","","","","","",""
"2012 General Election","ELK","State Treasurer","StateWide","Democratic","","5,931","0","0","","","","","","","","",""
"2012 General Election","ELK","State Treasurer","StateWide","Libertarian","","678","0","0","","","","","","","","",""
"2012 General Election","ERIE","Auditor General","StateWide","Republican","","49,870","0","0","","","","","","","","",""
"2012 General Election","ERIE","Auditor General","StateWide","Democratic","","57,998","0","0","","","","","","","","",""
"2012 General Election","ERIE","Auditor General","StateWide","Libertarian","","5,649","0","0","","","","","","","","",""
"2012 General Election","ERIE","State Treasurer","StateWide","Republican","","43,452","0","0","","","","","","","","",""
"2012 General Election","ERIE","State Treasurer","StateWide","Democratic","","64,583","0","0","","","","","","","","",""
"2012 General Election","ERIE","State Treasurer","StateWide","Libertarian","","4,923","0","0","","","","","","","","",""
"2012 General Election","FAYETTE","Auditor General","StateWide","Republican","","21,078","0","0","","","","","","","","",""
"2012 General Election","FAYETTE","Auditor General","StateWide","Democratic","","23,877","0","0","","","","","","","","",""
"2012 General Election","FAYETTE","Auditor General","StateWide","Libertarian","","1,842","0","0","","","","","","","","",""
"2012 General Election","FAYETTE","State Treasurer","StateWide","Republican","","19,973","0","0","","","","","","","","",""
"2012 General Election","FAYETTE","State Treasurer","StateWide","Democratic","","24,925","0","0","","","","","","","","",""
"2012 General Election","FAYETTE","State Treasurer","StateWide","Libertarian","","1,773","0","0","","","","","","","","",""
"2012 General Election","FOREST","Auditor General","StateWide","Republican","","1,302","0","0","","","","","","","","",""
"2012 General Election","FOREST","Auditor General","StateWide","Democratic","","797","0","0","","","","","","","","",""
"2012 General Election","FOREST","Auditor General","StateWide","Libertarian","","146","0","0","","","","","","","","",""
